rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,total_atms,total_cancelled_atms,total_atms_excl_cancelled
16/04/2025 09:39,202502,Other UK Airports,ABERDEEN,"4,334",33,"4,301"
16/04/2025 09:39,202502,Non UK Reporting Airports,ALDERNEY,290,16,274
16/04/2025 09:39,202502,Other UK Airports,BARRA,86,14,72
16/04/2025 09:39,202502,Other UK Airports,BELFAST CITY (GEORGE BEST),"2,116",28,"2,088"
16/04/2025 09:39,202502,Other UK Airports,BELFAST INTERNATIONAL,"3,452",3,"3,449"
16/04/2025 09:39,202502,Other UK Airports,BENBECULA,166,32,134
16/04/2025 09:39,202502,Other UK Airports,BIGGIN HILL,96,-,96
16/04/2025 09:39,202502,Other UK Airports,BIRMINGHAM,"5,765",27,"5,738"
16/04/2025 09:39,202502,Other UK Airports,BLACKPOOL,376,-,376
16/04/2025 09:39,202502,Other UK Airports,BOURNEMOUTH,425,-,425
16/04/2025 09:39,202502,Other UK Airports,BRISTOL,"4,512",-,"4,512"
16/04/2025 09:39,202502,Other UK Airports,CAMPBELTOWN,77,4,73
16/04/2025 09:39,202502,Other UK Airports,CARDIFF WALES,417,4,413
16/04/2025 09:39,202502,Other UK Airports,CITY OF DERRY (EGLINTON),266,2,264
16/04/2025 09:39,202502,Other UK Airports,DUNDEE,88,-,88
16/04/2025 09:39,202502,Other UK Airports,EAST MIDLANDS INTERNATIONAL,"2,477",4,"2,473"
16/04/2025 09:39,202502,Other UK Airports,EDINBURGH,"7,717",76,"7,641"
16/04/2025 09:39,202502,Other UK Airports,EXETER,291,3,288
16/04/2025 09:39,202502,Other UK Airports,FARNBOROUGH,538,-,538
16/04/2025 09:39,202502,London Area Airports,GATWICK,"17,294",98,"17,196"
16/04/2025 09:39,202502,Other UK Airports,GLASGOW,"4,489",62,"4,427"
16/04/2025 09:39,202502,Non UK Reporting Airports,GUERNSEY,"1,168",16,"1,152"
16/04/2025 09:39,202502,London Area Airports,HEATHROW,"36,104",300,"35,804"
16/04/2025 09:39,202502,Other UK Airports,HUMBERSIDE,379,23,356
16/04/2025 09:39,202502,Other UK Airports,INVERNESS,598,8,590
16/04/2025 09:39,202502,Other UK Airports,ISLAY,96,4,92
16/04/2025 09:39,202502,Non UK Reporting Airports,ISLE OF MAN,666,25,641
16/04/2025 09:39,202502,Other UK Airports,ISLES OF SCILLY (ST.MARYS),390,-,390
16/04/2025 09:39,202502,Non UK Reporting Airports,JERSEY,"1,094",8,"1,086"
16/04/2025 09:39,202502,Other UK Airports,KIRKWALL,782,20,762
16/04/2025 09:39,202502,Other UK Airports,LANDS END (ST JUST),272,-,272
16/04/2025 09:39,202502,Other UK Airports,LEEDS BRADFORD,"1,699",11,"1,688"
16/04/2025 09:39,202502,Other UK Airports,LERWICK (TINGWALL),58,-,58
16/04/2025 09:39,202502,Other UK Airports,LIVERPOOL (JOHN LENNON),"2,409",12,"2,397"
16/04/2025 09:39,202502,London Area Airports,LONDON CITY,"3,563",24,"3,539"
16/04/2025 09:39,202502,London Area Airports,LUTON,"7,221",17,"7,204"
16/04/2025 09:39,202502,Other UK Airports,MANCHESTER,"12,678",95,"12,583"
16/04/2025 09:39,202502,Other UK Airports,NEWCASTLE,"2,291",12,"2,279"
16/04/2025 09:39,202502,Other UK Airports,NEWQUAY,244,25,219
16/04/2025 09:39,202502,Other UK Airports,NORWICH,977,3,974
16/04/2025 09:39,202502,Other UK Airports,PRESTWICK,209,-,209
16/04/2025 09:39,202502,Other UK Airports,SHOREHAM,-,-,-
16/04/2025 09:39,202502,Other UK Airports,SOUTHAMPTON,"1,126",25,"1,101"
16/04/2025 09:39,202502,London Area Airports,SOUTHEND,113,1,112
16/04/2025 09:39,202502,London Area Airports,STANSTED,"13,271",62,"13,209"
16/04/2025 09:39,202502,Other UK Airports,STORNOWAY,376,13,363
16/04/2025 09:39,202502,Other UK Airports,SUMBURGH,978,9,969
16/04/2025 09:39,202502,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,293,-,293
16/04/2025 09:39,202502,Other UK Airports,TIREE,111,12,99
16/04/2025 09:39,202502,Other UK Airports,WICK JOHN O GROATS,72,8,64

