rundate,reporting_period,reporting_airport_group_name,reporting_airport_name,grand_total,air_transport,air_taxi,positioning_flights,local_movements,test_and_training,other_flights,aero_club,private_flights,official,military,business_aviation
16/04/2025 09:20,202502,London Area Airports,GATWICK,17494,17197,1,236,0,28,10,0,0,7,0,16
16/04/2025 09:20,202502,London Area Airports,HEATHROW,35965,35806,2,120,0,6,4,0,22,7,0,0
16/04/2025 09:20,202502,London Area Airports,LONDON CITY,3814,3743,204,28,0,2,0,0,0,0,0,41
16/04/2025 09:20,202502,London Area Airports,LUTON,9298,7204,0,46,11,0,38,0,8,0,0,1991
16/04/2025 09:20,202502,London Area Airports,SOUTHEND,2117,153,41,20,8,170,16,972,713,8,4,53
16/04/2025 09:20,202502,London Area Airports,STANSTED,13621,13212,3,13,0,0,48,0,0,3,7,338
16/04/2025 09:20,202502,Miscellaneous,EDMISTON LONDON HELIPORT,414,106,106,70,2,0,86,0,128,0,6,16
16/04/2025 09:20,202502,Non UK Reporting Airports,ALDERNEY,446,274,0,0,59,0,0,39,74,0,0,0
16/04/2025 09:20,202502,Non UK Reporting Airports,GUERNSEY,2021,1178,26,103,244,4,15,198,251,0,0,28
16/04/2025 09:20,202502,Non UK Reporting Airports,ISLE OF MAN,1084,723,82,13,0,48,0,100,140,54,6,0
16/04/2025 09:20,202502,Non UK Reporting Airports,JERSEY,1850,1087,1,72,0,37,302,292,0,52,8,0
16/04/2025 09:20,202502,Other UK Airports,ABERDEEN,5103,4383,82,160,2,230,191,126,0,0,10,1
16/04/2025 09:20,202502,Other UK Airports,BARRA,74,72,0,0,0,0,0,0,2,0,0,0
16/04/2025 09:20,202502,Other UK Airports,BELFAST CITY (GEORGE BEST),2161,2105,17,32,0,1,0,0,23,0,0,0
16/04/2025 09:20,202502,Other UK Airports,BELFAST INTERNATIONAL,4061,3474,25,36,0,8,249,0,0,93,201,0
16/04/2025 09:20,202502,Other UK Airports,BENBECULA,198,134,0,0,0,0,46,2,2,0,6,8
16/04/2025 09:20,202502,Other UK Airports,BIGGIN HILL,2415,1188,1093,63,40,26,0,238,459,0,0,401
16/04/2025 09:20,202502,Other UK Airports,BIRMINGHAM,6182,5774,36,27,0,4,359,0,10,0,8,0
16/04/2025 09:20,202502,Other UK Airports,BLACKPOOL,2826,422,46,5,0,131,0,1821,405,0,4,38
16/04/2025 09:20,202502,Other UK Airports,BOURNEMOUTH,1349,461,36,75,0,31,270,98,292,0,4,118
16/04/2025 09:20,202502,Other UK Airports,BRISTOL,5049,4606,94,64,0,0,150,203,0,26,0,0
16/04/2025 09:20,202502,Other UK Airports,CAMBRIDGE,1189,0,0,0,231,0,0,842,38,0,20,58
16/04/2025 09:20,202502,Other UK Airports,CAMPBELTOWN,95,73,0,2,0,2,6,0,12,0,0,0
16/04/2025 09:20,202502,Other UK Airports,CARDIFF WALES,1041,413,0,50,0,230,332,0,0,0,16,0
16/04/2025 09:20,202502,Other UK Airports,CITY OF DERRY (EGLINTON),451,264,0,5,8,70,1,38,49,0,0,16
16/04/2025 09:20,202502,Other UK Airports,COVENTRY,1260,4,4,0,0,1123,0,0,125,0,8,0
16/04/2025 09:20,202502,Other UK Airports,DUNDEE,234,104,16,14,14,72,4,0,12,0,0,14
16/04/2025 09:20,202502,Other UK Airports,EAST MIDLANDS INTERNATIONAL,3468,2473,0,359,0,58,180,0,36,0,3,359
16/04/2025 09:20,202502,Other UK Airports,EDINBURGH,7938,7681,40,109,0,2,1,0,143,0,2,0
16/04/2025 09:20,202502,Other UK Airports,EXETER,1489,294,6,25,162,197,44,417,281,0,18,51
16/04/2025 09:20,202502,Other UK Airports,FARNBOROUGH,2010,934,396,441,0,0,299,14,19,23,2,278
16/04/2025 09:20,202502,Other UK Airports,GLASGOW,5216,4542,115,83,0,12,229,327,0,0,14,9
16/04/2025 09:20,202502,Other UK Airports,GLOUCESTERSHIRE,3837,33,33,21,0,875,91,2098,633,2,27,57
16/04/2025 09:20,202502,Other UK Airports,HAWARDEN,1557,0,0,0,124,16,60,943,258,0,74,82
16/04/2025 09:20,202502,Other UK Airports,HUMBERSIDE,1478,363,7,112,0,713,197,0,66,0,18,9
16/04/2025 09:20,202502,Other UK Airports,INVERNESS,1191,609,19,19,24,80,142,252,41,2,6,16
16/04/2025 09:20,202502,Other UK Airports,ISLAY,138,96,4,0,0,2,16,0,14,0,0,10
16/04/2025 09:20,202502,Other UK Airports,ISLES OF SCILLY (ST.MARYS),465,396,6,4,31,0,0,0,0,32,2,0
16/04/2025 09:20,202502,Other UK Airports,KIRKWALL,870,766,4,16,0,4,80,4,0,0,0,0
16/04/2025 09:20,202502,Other UK Airports,LANDS END (ST JUST),377,280,8,16,0,61,0,3,17,0,0,0
16/04/2025 09:20,202502,Other UK Airports,LEEDS BRADFORD,2129,1786,98,110,0,51,4,0,169,0,9,0
16/04/2025 09:20,202502,Other UK Airports,LERWICK (TINGWALL),75,58,0,14,0,2,1,0,0,0,0,0
16/04/2025 09:20,202502,Other UK Airports,LIVERPOOL (JOHN LENNON),3491,2466,69,47,0,17,0,0,0,0,46,915
16/04/2025 09:20,202502,Other UK Airports,LYDD,1892,4,4,4,0,112,0,715,779,276,0,2
16/04/2025 09:20,202502,Other UK Airports,MANCHESTER,13177,12584,1,168,3,45,6,0,0,0,0,371
16/04/2025 09:20,202502,Other UK Airports,NEWCASTLE,3126,2279,0,20,0,192,0,0,416,146,58,15
16/04/2025 09:20,202502,Other UK Airports,NEWQUAY,1184,240,19,38,515,218,27,0,70,0,68,8
16/04/2025 09:20,202502,Other UK Airports,NORWICH,1770,974,0,234,84,49,14,245,155,0,15,0
16/04/2025 09:20,202502,Other UK Airports,OXFORD (KIDLINGTON),4270,20,20,253,0,3145,0,0,563,0,3,286
16/04/2025 09:20,202502,Other UK Airports,PRESTWICK,1288,209,0,84,0,573,0,163,101,0,158,0
16/04/2025 09:20,202502,Other UK Airports,SHOREHAM,2484,10,10,3,82,73,4,1739,563,0,10,0
16/04/2025 09:20,202502,Other UK Airports,SOUTHAMPTON,1378,1116,15,103,0,0,27,0,0,0,4,128
16/04/2025 09:20,202502,Other UK Airports,STORNOWAY,521,365,2,9,6,42,84,0,9,0,4,2
16/04/2025 09:20,202502,Other UK Airports,SUMBURGH,1276,1127,158,33,6,60,50,0,0,0,0,0
16/04/2025 09:20,202502,Other UK Airports,TEESSIDE INTERNATIONAL AIRPORT,1465,297,4,16,0,168,441,479,0,2,62,0
16/04/2025 09:20,202502,Other UK Airports,TIREE,110,99,0,1,0,0,8,2,0,0,0,0
16/04/2025 09:20,202502,Other UK Airports,WICK JOHN O GROATS,166,72,8,0,16,8,18,4,26,0,12,10

